"vf","ematerial","fmaterial","c44","e15","q15","μ11","ϵ11","α11","ρ"
0.2,4,2,1.962448295741991e10,6.664393511869282,256.7564549290938,6.7018301452770275e-6,0.20569058873328885,-1.6008519578585657e-8,8944.
0.25,4,2,2.166501851539109e10,8.33955191866813,236.88761631848914,6.395078368644622e-6,0.18477248414392203,-1.8019684466960933e-8,8872.5
0.3,4,2,2.4201239686886375e10,10.205599497359417,221.5064695330367,6.2145523586232646e-6,0.168078286326573,-1.990205400356663e-8,8801.
0.35,4,2,2.728386428866465e10,12.325611409470241,209.05267214778883,6.1296423631150205e-6,0.15416465387785708,-2.1683984609176506e-8,8729.5
0.39999999999999997,4,2,3.102753345889637e10,14.783989112726156,198.72808914706945,6.129970966831436e-6,0.1422746934170172,-2.339207449588158e-8,8658.
0.44999999999999996,4,2,3.5619308438093834e10,17.699688464083284,190.11043756898994,6.217572070227668e-6,0.13198153668135504,-2.505755977236427e-8,8586.5
0.49999999999999994,4,2,4.135054101372457e10,21.248144521873748,183.00212954666387,6.405530249384573e-6,0.12304420917840289,-2.6721862268525374e-8,8515.
0.5499999999999999,4,2,4.8682653541773346e10,25.700964777896726,177.37917137372602,6.72079504527828e-6,0.1153495915073525,-2.844451858195232e-8,8443.5
0.6,4,2,5.838020108263219e10,31.503728314579327,173.40528626540652,7.2124060056116665e-6,0.10890242625159521,-3.031791071833987e-8,8372.
0.65,4,2,7.179937834834698e10,39.4432839599743,171.52832335509987,7.970744192717917e-6,0.10386338889964326,-3.249873542199589e-8,8300.5
0.7000000000000001,4,2,9.15894333872385e10,51.05359076504084,172.75734284003977,9.175256370534966e-6,0.10068007618562924,-3.5284427834081755e-8,8229.
0.7500000000000001,4,2,1.2370791382118533e11,69.78104646282081,179.4925122652203,0.000011232300761468463,0.10049351284809788,-3.933283753309854e-8,8157.5
0.8000000000000002,4,2,1.8492049155565826e11,105.32033746202889,198.66040752910803,0.000015289154687150827,0.10669274254736881,-4.647991127906702e-8,8086.
0.8500000000000002,4,2,3.4768437665462427e11,199.55665293814013,260.7688870240703,0.00002631642175362961,0.13448083586342696,-6.463251772601297e-8,8014.5
