vf,c44,e15,q15,μ11,ϵ11,α11,ρ,c55e,e15e,q15e,ϵ11e,μ11e,α11e,ρe,c55f,e15f,q15f,ϵ11f,μ11f,α11f,ρf
0.2,315757224814.89343,0.1077195895221003,0.0013704255073699,0.0032211459254981,1.7207582471298782e-10,1.2884381564748615e-09,5140.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,437500000000.0,0,1.8e-06,1.1e-10,0.005,2e-09,5000
0.25,292556925285.7279,0.1348006307091326,0.0014938720469619,0.002920274910028,1.8954402472777552e-10,1.1680848805190711e-09,5175.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,437500000000.0,0,1.8e-06,1.1e-10,0.005,2e-09,5000
0.3,270643140201.4317,0.1641997446750168,0.0016046695680389,0.0026375437768453,2.0933023830906974e-10,1.0549871629578867e-09,5210.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,437500000000.0,0,1.8e-06,1.1e-10,0.005,2e-09,5000
0.35,249881443764.16296,0.1966419737953225,0.0017033263296969,0.00237124230185,2.3202451739391169e-10,9.484607864619414e-10,5245.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,437500000000.0,0,1.8e-06,1.1e-10,0.005,2e-09,5000
0.3999999999999999,230178996466.08493,0.2330243273824322,0.0017900914394644,0.0021202005277556,2.583753359541059e-10,8.4803761050694e-10,5280.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,437500000000.0,0,1.8e-06,1.1e-10,0.005,2e-09,5000
0.4499999999999999,211463002415.51596,0.2745201438416145,0.001865183733184,0.0018834739851146,2.8937397019382047e-10,7.533396412543567e-10,5315.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,437500000000.0,0,1.8e-06,1.1e-10,0.005,2e-09,5000
0.4999999999999999,193670764976.01965,0.3227265669529943,0.0019288227010552,0.0016602149430267,3.2637889172367325e-10,6.640275059322888e-10,5350.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,437500000000.0,0,1.8e-06,1.1e-10,0.005,2e-09,5000
0.5499999999999999,176744785152.0999,0.3798974542018812,0.0019811765934224,0.0014496207219727,3.713149371898409e-10,5.797797371575242e-10,5385.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,437500000000.0,0,1.8e-06,1.1e-10,0.005,2e-09,5000
0.6,160630098808.304,0.4493372315184646,0.0020222572292281,0.0012509154681386,4.2701152442741087e-10,5.002854136689941e-10,5420.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,437500000000.0,0,1.8e-06,1.1e-10,0.005,2e-09,5000
0.65,145272432430.0218,0.5361092969780998,0.0020517475265998,0.0010633463558386,4.978117227533644e-10,4.2524251718131354e-10,5455.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,437500000000.0,0,1.8e-06,1.1e-10,0.005,2e-09,5000
0.7000000000000001,130616176133.80948,0.6484015336142415,0.0020686984602836,0.0008861855090059,5.90746675736235e-10,3.5435846170856675e-10,5490.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,437500000000.0,0,1.8e-06,1.1e-10,0.005,2e-09,5000
0.7500000000000001,116600888568.397,0.8003932269839285,0.0020709254133959,0.0007187336154424,7.18001513174305e-10,2.8735103687630645e-10,5525.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,437500000000.0,0,1.8e-06,1.1e-10,0.005,2e-09,5000
0.8000000000000002,103153433959.1722,1.0189839008044774,0.0020536230792463,0.0005603234349571,9.027030869762699e-10,2.2394863200988292e-10,5560.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,437500000000.0,0,1.8e-06,1.1e-10,0.005,2e-09,5000
0.8500000000000002,90166570854.53496,1.3622126269544896,0.0020056032775149,0.0004103224851107,1.1947631716153991e-09,1.6388808258944046e-10,5595.0,44000000000.0,11.4,0.0,9.82e-09,5e-06,0,5700,437500000000.0,0,1.8e-06,1.1e-10,0.005,2e-09,5000
